ipa,description,example_word,english_translation,word_ipa
[a] (ru),An open vowel like 'a' in English 'father'.,да,yes,[da]
[e] (ru),Like 'e' in English 'net'.,это,this/that,[ˈɛtə]
[i] (ru),Like 'ee' in English 'see'.,мир,world/peace,[mʲir]
[o] (ru),Like 'o' in English 'port'. Lips are rounded.,дом,house,[dom]
[u] (ru),Like 'oo' in English 'moon'. Lips are tightly rounded.,зуб,tooth,[zup]
[ɨ] (ru),"No English equivalent. Say 'oo' but without rounding lips, tongue pulled back. Like the 'i' in 'ill' but further back.",сыр,cheese,[sɨr]
[p] (ru),"Hard 'p', like English 'p' but with less air.",парк,park,[park]
[b] (ru),"Hard 'b', like English 'b'.",банк,bank,[bank]
[t] (ru),"Hard 't', tongue tip against the top teeth.",торт,cake,[tort]
[d] (ru),"Hard 'd', tongue tip against the top teeth.",два,two,[dva]
[k] (ru),"Hard 'k', like English 'k'.",кот,cat,[kot]
[g] (ru),"Hard 'g', like English 'g' in 'go'.",год,year,[got]
[f] (ru),"Hard 'f', like English 'f'.",флаг,flag,[flak]
[v] (ru),"Hard 'v', like English 'v'.",вода,water,[vɐˈda]
[s] (ru),"Hard 's', like English 's' in 'sun'.",суп,soup,[sup]
[z] (ru),"Hard 'z', like English 'z' in 'zoo'.",замок,castle,[ˈzamək]
[ʃ] (ru),Hard 'sh' (ш). Like English 'sh' but with the tongue tip further back and slightly raised.,шарф,scarf,[ʃarf]
[ʒ] (ru),"Hard 'zh' (ж). Like the 's' in 'treasure', but with the tongue tip further back.",жук,bug,[ʐuk]
[m] (ru),"Hard 'm', like English 'm'.",мост,bridge,[most]
[n] (ru),"Hard 'n', like English 'n'.",нос,nose,[nos]
[l] (ru),Hard 'l' (dark l). The back of the tongue is raised. No direct English equivalent.,стол,table,[stol]
[r] (ru),Hard 'r'. A rolled/trilled 'r' with the tongue tip.,рука,hand/arm,[rʊˈka]
[t͡s] (ru),"The 'ts' sound (ц), like 'ts' in English 'cats'.",цвет,color,[t͡svʲet]
[pʲ] (ru),Soft 'p'. Press the middle of your tongue to the roof of your mouth while saying 'p'.,пять,five,[pʲætʲ]
[bʲ] (ru),Soft 'b'. Press the middle of your tongue to the roof of your mouth while saying 'b'.,белый,white,[ˈbʲelɨj]
[tʲ] (ru),"Soft 't'. It sounds almost like 'ts'.""",тётя,aunt,[ˈtʲɵtʲə]
[dʲ] (ru),Soft 'd'. It sounds almost like 'dz'.,день,day,[dʲenʲ]
[kʲ] (ru),"Soft 'k', only occurs before [i] or [e].",кино,cinema,[kʲɪˈno]
[gʲ] (ru),"Soft 'g', only occurs before [i] or [e].",гид,guide,[gʲit]
[fʲ] (ru),Soft 'f'. A 'f' with a slight 'y' sound after it.,кофе,coffee,[ˈkofʲe]
[vʲ] (ru),Soft 'v'. A 'v' with a slight 'y' sound after it.,дверь,door,[dʲvʲerʲ]
[sʲ] (ru),Soft 's'. A hissing sound with the middle of the tongue raised.,семь,seven,[sʲemʲ]
[zʲ] (ru),Soft 'z'. A buzzing sound with the middle of the tongue raised.,зима,winter,[zʲɪˈma]
[mʲ] (ru),Soft 'm'. Like saying 'm' and 'y' at the same time.,мяч,ball,[mʲæt͡ʃ]
[nʲ] (ru),Soft 'n'. Like saying 'n' and 'y' at the same time.,нет,no,[nʲet]
[lʲ] (ru),Soft 'l' (light l). Like the 'l' in English 'leaf'.,лес,forest,[lʲes]
[rʲ] (ru),Soft 'r'. A rolled 'r' with the middle of the tongue raised.,море,sea,[ˈmorʲe]
[t͡ʃ] (ru),Always soft 'ch' (ч). Like a softer version of English 'church'.,чай,tea,[t͡ɕæj]
[ɕː] (ru),"Always soft, long 'sh' (щ). A long, hissing 'sh' with the middle of the tongue high.",щит,shield,[ɕːit]
[j] (ru),"The 'y' sound (й), like in English 'yes'.",йогурт,yogurt,[ˈjɵgʊrt]
