ipa,description,example_word,english_translation,word_ipa
[i],"Like 'ee' in 'cheese'. Lips spread wide like a smile, tongue high and forward.",lit,bed,[li]
[e],"Like the 'ay' in 'say' but without the 'y' glide. Tense, lips slightly spread.",café,coffee,[ka.fe]
[ɛ],Like the 'e' in 'bed'. Mouth open a bit more than for [e].,forêt,forest,[fɔ.ʁɛ]
[a],"Like the 'a' in 'father', but further forward in the mouth.",chat,cat,[ʃa]
[ɑ],"A deeper, further back version of 'a', like a yawn. Common in some French accents.",pâte,dough,[pɑt]
[ɔ],Like the 'o' in 'port'. Lips are rounded and mouth is quite open.,porte,door,[pɔʁt]
[o],Like the 'oa' in 'boat'. Lips are very rounded and tense.,gâteau,cake,[ɡa.to]
[u],Like the 'oo' in 'moon'. Lips pushed forward and tightly rounded.,loup,wolf,[lu]
[y],Say 'ee' [i] but keep your lips tightly rounded like you're whistling.,lune,moon,[lyn]
[ø],Say 'ay' [e] but keep your lips rounded as if saying 'oh'.,feu,fire,[fø]
[œ],Say 'eh' [ɛ] but keep your lips rounded. Mouth more open than for [ø].,fleur,flower,[flœʁ]
[ə],"A relaxed, neutral 'uh' sound. Like the 'a' in English 'sofa'.",cheval,horse,[ʃə.val]
[ɛ̃],"The sound in 'vin' (wine). Make an 'eh' [ɛ] sound, but let air escape through your nose.",pain,bread,[pɛ̃]
[ɑ̃],"The sound in 'enfant' (child). Make an 'ah' [ɑ] sound, but through your nose. Drop your jaw.",vent,wind,[vɑ̃]
[ɔ̃],"The sound in 'bon' (good). Make an 'oh' [ɔ] sound, but through your nose. Round your lips.",pont,bridge,[pɔ̃]
[œ̃],"The sound in 'parfum' (perfume). Make the sound [œ] (like in 'fleur'), but through your nose. The 'un' in 'brun'.",parfum,perfume,[paʁ.fœ̃]
[p],"A puff of air from the lips, no voice. Like English 'p' but with less air.",père,father,[pɛʁ]
[b],A voiced sound from the lips. Like English 'b'.,bois,wood,[bwa]
[t],"Tongue tip on back of top teeth, no voice. Like English 't' but softer.",table,table,[tabl]
[d],"Tongue tip on back of top teeth, with voice. Like English 'd' but softer.",dent,tooth,[dɑ̃]
[k],"A hard sound from the back of the tongue, no voice. Like English 'k'.",cou,neck,[ku]
[g],"A voiced, hard sound from the back of the tongue. Like English 'g' in 'go'.",gare,station,[ɡaʁ]
[f],"Top teeth on bottom lip, blow air, no voice. Like English 'f'.",fil,thread,[fil]
[v],"Top teeth on bottom lip, make a buzzing sound. Like English 'v'.",verre,glass,[vɛʁ]
[s],A hissing sound. Like English 's' in 'see'.,sel,salt,[sɛl]
[z],A buzzing sound. Like English 'z' in 'zoo'.,zoo,zoo,[zo]
[ʃ],A 'shushing' sound. Like English 'sh' in 'shoe'.,chapeau,hat,[ʃa.po]
[ʒ],"Voiced 'sh' sound, like the 's' in English 'treasure'.",jardin,garden,[ʒaʁ.dɛ̃]
[m],A humming sound with lips closed. Like English 'm'.,maison,house,[mɛ.zɔ̃]
[n],"Tongue tip behind teeth, air through nose. Like English 'n'.",neige,snow,[nɛʒ]
[ɲ],Like the 'ny' in 'canyon'. The middle of the tongue presses against the roof of the mouth.,montagne,mountain,[mɔ̃.taɲ]
[ŋ],"A nasal sound from the back of the tongue, like 'ng' in English 'king'. Found in loanwords.",parking,parking lot,[paʁ.kiŋ]
[l],Tongue tip touches behind top teeth. Lighter than in English.,livre,book,[livʁ]
[ʁ],The French 'R'. A rattling/gargling sound made at the back of the throat (uvula).,rat,rat,[ʁa]
[j],"A gliding sound, starts like 'ee' but moves. Like 'y' in English 'yes'.",pied,foot,[pje]
[w],"A gliding sound with rounded lips, like 'w' in English 'we'.",roi,king,[ʁwa]
[ɥ],"A mix of [y] and [w]. Say 'ee' [i] with very tightly rounded lips, then glide.",huile,oil,[ɥil]
